codigo_ibge,nome,uf,regiao_imediata,regiao_intermediaria,latitude,longitude,populacao_2026
2901908,Aporá,BA,Alagoinhas,Salvador,-11.721847,-38.193588,16344
2901957,Apuarema,BA,Jequié,Vitória da Conquista,-13.802500,-39.766428,7090
2902005,Aracatu,BA,Brumado,Vitória da Conquista,-14.383821,-41.350568,14456
2902054,Araçás,BA,Alagoinhas,Salvador,-12.149611,-38.227333,11960
2902104,Araci,BA,Serrinha,Feira de Santana,-11.234800,-39.059710,50282
2902203,Aramari,BA,Alagoinhas,Salvador,-12.039920,-38.526633,10091
2902252,Arataca,BA,Camacan,Ilhéus ¿ Itabuna,-15.252376,-39.420565,10405
2902302,Aratuípe,BA,Nazaré ¿ Maragogipe,Santo Antônio de Jesus,-13.082450,-39.094933,9003
2902401,Aurelino Leal,BA,Ilhéus ¿ Itabuna,Ilhéus ¿ Itabuna,-14.357391,-39.485541,11276
2902500,Baianópolis,BA,Barreiras,Barreiras,-12.614268,-44.437629,14163
2902609,Baixa Grande,BA,Feira de Santana,Feira de Santana,-11.971683,-40.164591,18579
2902658,Banzaê,BA,Ribeira do Pombal,Paulo Afonso,-10.617712,-38.654494,12270
2902708,Barra,BA,Xique-Xique ¿ Barra,Irecê,-11.100318,-43.370710,53745
2902807,Barra da Estiva,BA,Vitória da Conquista,Vitória da Conquista,-13.675133,-41.109167,27890
2902906,Barra do Choça,BA,Vitória da Conquista,Vitória da Conquista,-14.929257,-40.598050,38671
2903003,Barra do Mendes,BA,Irecê,Irecê,-11.972057,-42.070025,14404
2903102,Barra do Rocha,BA,Ipiaú,Vitória da Conquista,-14.090130,-39.592760,5878
2903201,Barreiras,BA,Barreiras,Barreiras,-11.974486,-45.552583,172521
2903235,Barro Alto,BA,Irecê,Irecê,-11.831193,-41.846220,13932
2903276,Barrocas,BA,Serrinha,Feira de Santana,-11.539715,-39.084485,15814
2903300,Barro Preto,BA,Ilhéus ¿ Itabuna,Ilhéus ¿ Itabuna,-14.775608,-39.467508,5909
2903409,Belmonte,BA,Eunápolis - Porto Seguro,Ilhéus ¿ Itabuna,-15.923287,-39.285065,20490
2903508,Belo Campo,BA,Vitória da Conquista,Vitória da Conquista,-14.977550,-41.214414,19104
2903607,Biritinga,BA,Serrinha,Feira de Santana,-11.619138,-38.808562,15599
2903706,Boa Nova,BA,Vitória da Conquista,Vitória da Conquista,-14.356696,-40.211983,13587
2903805,Boa Vista do Tupim,BA,Itaberaba,Feira de Santana,-12.762349,-40.682985,17221
2903904,Bom Jesus da Lapa,BA,Bom Jesus da Lapa,Guanambi,-13.239735,-43.323535,68869
2903953,Bom Jesus da Serra,BA,Vitória da Conquista,Vitória da Conquista,-14.387192,-40.580915,10010
2904001,Boninal,BA,Seabra,Feira de Santana,-12.784981,-41.834000,14143
2904050,Bonito,BA,Irecê,Irecê,-11.979182,-41.316664,16453
2904100,Boquira,BA,Bom Jesus da Lapa,Guanambi,-12.750309,-42.714555,19723
2904209,Botuporã,BA,Guanambi,Guanambi,-13.312217,-42.529767,11443
2904308,Brejões,BA,Santo Antônio de Jesus,Santo Antônio de Jesus,-13.101214,-39.852814,13195
2904407,Brejolândia,BA,Barreiras,Barreiras,-12.436507,-43.866952,9344
2904506,Brotas de Macaúbas,BA,Xique-Xique ¿ Barra,Irecê,-12.119034,-42.520337,12190
2904605,Brumado,BA,Brumado,Vitória da Conquista,-14.170770,-41.687591,74617
2904704,Buerarema,BA,Ilhéus ¿ Itabuna,Ilhéus ¿ Itabuna,-15.010856,-39.250156,14853
2904753,Buritirama,BA,Xique-Xique ¿ Barra,Irecê,-10.550340,-43.728665,20230
2904803,Caatiba,BA,Vitória da Conquista,Vitória da Conquista,-15.001527,-40.357136,6041
2904852,Cabaceiras do Paraguaçu,BA,Cruz das Almas,Santo Antônio de Jesus,-12.564977,-39.184646,17009
2904902,Cachoeira,BA,Cruz das Almas,Santo Antônio de Jesus,-12.650906,-38.896165,30450
